code;langcode;value;description
comm_medium;en;Communication Medium;Various communication mediums e.g Phone, Email etc.
comm_event;en;Communication Event;An event in the application when communication with restaurant happens e.g. On Order, Billing
rest_speciality;en;Resturant Speciality;Various cuisines a restaurant specializes in
call;en;Telephone Call;A telephone call
whatsapp;en;WhatsApp;A WhatsApp message
sms;en;SMS;An SMS though mobile phone
email;en;Email;An Email
cust_order;en;Customer Order;Customer order related communication
billing;en;Billing;Billing related communication
indian;en;Indian;Indian cuisine
italian;en;Italian;Italian cuisine
chinese;en;Chinese;Chinese cuisine
arabic;en;Arabic;Arabic food
pizza;en;Pizza;Pizza & Pasta
sex_type;en;Sex;Sex of a Person
male;en;Male;Male
female;en;Female;Female
sex_other;en;Others;Others
sex_unknown;en;Not Given;Not Given